ID,Data,Time
test1,"[[0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]]"
test2,1
test3,"[[0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]]"
test1,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]]"
test2,2
test3,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]]"
test1,"[[0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]]"
test2,3
test3,"[[0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]]"
test1,"[[0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]]"
test2,4
test3,"[[0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]]"
test1,"[[0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]]"
test2,5
test3,"[[0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]]"
test4,0.001
